catalogue_id,full_name,current_full_name,html_url,current_url,description,description_de,primary_category,category_label_en,category_label_de,scope_status,record_status,redirects_to,github_repository_id,github_status,homepage_url,is_archived,is_disabled,is_fork,default_branch,primary_language,license_spdx,topics,stargazers_count,forks_count,open_issues_count,created_at,pushed_at,updated_at,snapshot_date,github_metadata_captured_at
GHIAO-0001,MiniDraco/musical-instruments-master-list,MiniDraco/musical-instruments-master-list,https://github.com/MiniDraco/musical-instruments-master-list,https://github.com/MiniDraco/musical-instruments-master-list,"8,240-entry master list of musical instruments (4,448 unique), Hornbostel–Sachs classified, sourced per row. Available as CSV, JSON, SQLite, XLSX, TXT, and PDF.",Maschinenlesbare Masterliste von Musikinstrumenten mit Hornbostel-Sachs-Bezügen.,organology_and_instrument_knowledge,Organology and instrument knowledge,Organologie und Instrumentenwissen,core,active,,1284816592,available,,False,False,False,main,,NOASSERTION,"[""csv"",""dataset"",""ethnomusicology"",""hornbostel-sachs"",""json"",""music"",""musical-instruments"",""open-data"",""organology"",""sqlite""]",0,0,0,2026-06-30T08:13:49Z,2026-06-30T08:13:55Z,2026-06-30T09:35:05Z,2026-08-22,2026-08-25T15:30:14Z
GHIAO-0002,modavis-project/musical-instrument-classes,modavis-project/musical-instrument-classes,https://github.com/modavis-project/musical-instrument-classes,https://github.com/modavis-project/musical-instrument-classes,JSON Databases for Musical Instrument Classifications based on the Hornbostel-Sachs System and Translations for Musical Instruments.,JSON-Datenbanken zur Hornbostel-Sachs-Klassifikation und zu mehrsprachigen Instrumentennamen.,organology_and_instrument_knowledge,Organology and instrument knowledge,Organologie und Instrumentenwissen,core,active,,677294802,available,,False,False,False,main,Python,CC0-1.0,"[""classes"",""classification"",""hornbostel"",""json"",""musical-instruments"",""sachs"",""translations""]",7,0,0,2023-08-11T08:01:46Z,2023-08-11T10:53:34Z,2026-07-26T20:48:37Z,2026-08-22,2026-08-25T15:30:14Z
GHIAO-0003,polifonia-project/music-instrument-ontology,polifonia-project/music-instrument-ontology,https://github.com/polifonia-project/music-instrument-ontology,https://github.com/polifonia-project/music-instrument-ontology,This repository contains the Instruments ontology module of the Polifonia ontology network.,Ontologie zur semantischen Beschreibung von Musikinstrumenten.,organology_and_instrument_knowledge,Organology and instrument knowledge,Organologie und Instrumentenwissen,core,active,,396144128,available,,False,False,False,main,,CC-BY-4.0,[],4,0,0,2021-08-14T22:12:21Z,2023-10-19T07:49:01Z,2025-03-31T12:10:00Z,2026-08-22,2026-08-25T15:30:14Z
GHIAO-0004,NatLibFi/seko,NatLibFi/SEKO,https://github.com/NatLibFi/seko,https://github.com/NatLibFi/SEKO,Translation project of the Finnish SEKO vocabulary,"Organologie, Instrumententaxonomie, Ontologien oder Sammlungsdaten.",organology_and_instrument_knowledge,Organology and instrument knowledge,Organologie und Instrumentenwissen,core,active,,540846033,available,https://natlibfi.github.io/SEKO/,False,False,False,main,,,[],3,0,138,2022-09-24T13:54:44Z,2026-08-16T16:35:17Z,2026-08-16T16:35:29Z,2026-08-22,2026-08-25T15:30:14Z
GHIAO-0005,philharmoniedeparis/mimo,philharmoniedeparis/mimo,https://github.com/philharmoniedeparis/mimo,https://github.com/philharmoniedeparis/mimo,MIMO tools & data,Linked-Open-Data- und Vokabularwerkzeuge von Musical Instruments Museums Online.,organology_and_instrument_knowledge,Organology and instrument knowledge,Organologie und Instrumentenwissen,core,active,,32071255,available,http://www.mimo-international.com,False,False,False,master,XSLT,,[],9,4,10,2015-03-12T10:33:02Z,2026-03-20T08:44:31Z,2026-03-20T08:44:36Z,2026-08-22,2026-08-25T15:30:14Z
GHIAO-0006,digital-organology/hmsm,digital-organology/hmsm,https://github.com/digital-organology/hmsm,https://github.com/digital-organology/hmsm,Tools for image based MIDI generation from historical music storage media,Bildbasierte Digitalisierung historischer Musik-Speichermedien und MIDI-Erzeugung.,organology_and_instrument_knowledge,Organology and instrument knowledge,Organologie und Instrumentenwissen,core,active,,645392588,available,https://organology.uni-leipzig.de/,False,False,False,main,Python,GPL-3.0,"[""image-processing"",""musicology"",""scientific-research""]",0,0,0,2023-05-25T14:46:49Z,2024-10-30T13:54:51Z,2024-10-30T13:54:55Z,2026-08-22,2026-08-25T15:30:14Z
GHIAO-0007,metabrainz/irombook-instrument-images,metabrainz/irombook-instrument-images,https://github.com/metabrainz/irombook-instrument-images,https://github.com/metabrainz/irombook-instrument-images,Stores free instrument images made by IROMBOOK and available from their websites,"Organologie, Instrumententaxonomie, Ontologien oder Sammlungsdaten.",organology_and_instrument_knowledge,Organology and instrument knowledge,Organologie und Instrumentenwissen,core,active,,311750849,available,,False,False,False,master,,NOASSERTION,"[""images"",""music-instruments""]",5,1,0,2020-11-10T18:33:17Z,2026-01-30T09:28:45Z,2026-01-30T09:28:50Z,2026-08-22,2026-08-25T15:30:14Z
GHIAO-0008,alexarje/A-NIME-Reader,alexarje/A-NIME-Reader,https://github.com/alexarje/A-NIME-Reader,https://github.com/alexarje/A-NIME-Reader,"Source files for the anthology ""A NIME Reader Fifteen Years of New Interfaces for Musical Expression""",Quelltexte der Anthologie zu fünfzehn Jahren Forschung an neuen Schnittstellen für musikalischen Ausdruck.,meta_resources,Curated lists and meta-resources,Kuratierte Listen und Meta-Ressourcen,core,active,,113361317,available,,False,False,False,master,PostScript,,"[""anthology"",""csound"",""expression"",""hci"",""instrument"",""interfaces"",""latex"",""max"",""music"",""musical"",""musical-instruments"",""nime"",""puredata"",""springer"",""supercollider""]",22,2,0,2017-12-06T19:58:00Z,2018-09-02T16:25:42Z,2025-07-02T23:33:20Z,2026-08-22,2026-08-25T15:30:14Z
GHIAO-0009,thegoose20/diss,thegoose20/diss,https://github.com/thegoose20/diss,https://github.com/thegoose20/diss,Design Informatics Dissertation Visualizations,"Organologie, Instrumententaxonomie, Ontologien oder Sammlungsdaten.",organology_and_instrument_knowledge,Organology and instrument knowledge,Organologie und Instrumentenwissen,core,active,,168156336,available,https://ljhavens.myportfolio.com/physically-encoding-collection-metadata,False,False,False,master,Jupyter Notebook,,"[""collections-as-data"",""data-physicalization"",""data-visualization"",""museum"",""musical-instruments"",""physicalization"",""visualization""]",0,0,0,2019-01-29T13:08:13Z,2020-05-18T10:46:34Z,2022-03-25T11:45:37Z,2026-08-22,2026-08-25T15:30:14Z
GHIAO-0010,Intelligent-Instruments-Lab/intelligent-instruments-lab.github.io,Intelligent-Instruments-Lab/intelligent-instruments-lab.github.io,https://github.com/Intelligent-Instruments-Lab/intelligent-instruments-lab.github.io,https://github.com/Intelligent-Instruments-Lab/intelligent-instruments-lab.github.io,Homepage for documentation of IIL GitHub repositories,Dokumentations- und Übersichtsseite für die Projekte des Intelligent Instruments Lab.,meta_resources,Curated lists and meta-resources,Kuratierte Listen und Meta-Ressourcen,core,active,,722272047,available,https://intelligent-instruments-lab.github.io/,False,False,False,main,,MIT,"[""artificial-intelligence"",""creative-coding"",""machine-learning"",""music"",""musical-instruments""]",1,0,0,2023-11-22T19:37:47Z,2023-11-22T21:18:27Z,2023-11-23T03:28:18Z,2026-08-22,2026-08-25T15:30:14Z
